Model Type,Model,Task Category,Task Group,Task,Metric,Score
VLM (TI2T),Qwen3-VL-Plus,Text-Centric,Text-Only Math Reasoning,GSM8K,Accuracy,100%
VLM (TI2T),Qwen3-VL-Plus,Text-Centric,Text-Only Math Reasoning,MATH-500,Accuracy,95%
VLM (TI2T),Qwen3-VL-Plus,Text-Centric,Text-Only Math Reasoning,AIME24,Accuracy,100%
VLM (TI2T),Qwen3-VL-Plus,Text-Centric,Text-Only Math Reasoning,AIME25,Accuracy,70%
VLM (TI2T),Qwen3-VL-Plus,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Accuracy,76.92%
VLM (TI2T),Qwen3-VL-Plus,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Accuracy,66.67%
VLM (TI2T),Qwen3-VL-Plus,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Accuracy,80%
VLM (TI2T),Qwen3-VL-Plus,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Accuracy,64%
VLM (TI2T),Qwen3-VL-Plus,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Accuracy,57.14%
VLM (TI2T),Qwen3-VL-Plus,Text-Centric,Multimodal Math Reasoning,MathVista,Accuracy,65%
VLM (TI2T),Qwen3-VL-Plus,Text-Centric,Multimodal Math Reasoning,MathVision,Accuracy,65%
VLM (TI2T),Qwen3-VL-Plus,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Accuracy,80%
VLM (TI2T),Qwen3-VL-Plus,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Accuracy,"65%
"
VLM (TI2T),Qwen3-VL-32B,Text-Centric,Text-Only Math Reasoning,GSM8K,Accuracy,100%
VLM (TI2T),Qwen3-VL-32B,Text-Centric,Text-Only Math Reasoning,MATH-500,Accuracy,95%
VLM (TI2T),Qwen3-VL-32B,Text-Centric,Text-Only Math Reasoning,AIME24,Accuracy,80%
VLM (TI2T),Qwen3-VL-32B,Text-Centric,Text-Only Math Reasoning,AIME25,Accuracy,50%
VLM (TI2T),Qwen3-VL-32B,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Accuracy,76.92%
VLM (TI2T),Qwen3-VL-32B,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Accuracy,66.67%
VLM (TI2T),Qwen3-VL-32B,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Accuracy,93.33%
VLM (TI2T),Qwen3-VL-32B,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Accuracy,40%
VLM (TI2T),Qwen3-VL-32B,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Accuracy,65.71%
VLM (TI2T),Qwen3-VL-32B,Text-Centric,Multimodal Math Reasoning,MathVista,Accuracy,75%
VLM (TI2T),Qwen3-VL-32B,Text-Centric,Multimodal Math Reasoning,MathVision,Accuracy,45%
VLM (TI2T),Qwen3-VL-32B,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Accuracy,90%
VLM (TI2T),Qwen3-VL-32B,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Accuracy,65%
VLM (TI2T),Qwen3-VL-235B-A22B,Text-Centric,Text-Only Math Reasoning,GSM8K,Accuracy,100%
VLM (TI2T),Qwen3-VL-235B-A22B,Text-Centric,Text-Only Math Reasoning,MATH-500,Accuracy,100%
VLM (TI2T),Qwen3-VL-235B-A22B,Text-Centric,Text-Only Math Reasoning,AIME24,Accuracy,80%
